NPS Traffic Count Query Builder,,,,,,
,,,,,,
Park,Unit Code,Park Type,Region,Traffic Counter,Year,Traffic Count
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2008,"54,184"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT ROUGH CANYON ROAD,2009,"62,569"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2000,"130,186"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2001,"99,530"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2002,"84,939"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2003,"25,040"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2004,"19,334"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2005,"16,829"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2006,"16,521"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2007,"10,875"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2008,"18,398"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SAN PEDRO,2009,"15,416"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2000,"14,391"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2001,"15,591"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2002,"8,407"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2003,"5,136"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2004,"7,988"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2005,"8,288"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2006,"7,295"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2007,"17,720"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2008,"22,752"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 406,2009,"7,380"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2000,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2001,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2002,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2003,"33,131"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2004,"46,144"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2005,"24,190"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2006,"33,752"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2007,"37,187"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2008,"33,188"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT SPUR 454,2009,"32,422"
