,,,,,,,,,,,
Annual Visitation Report by Years: 1965 to 1985,,,,,,,,,,,
,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,
,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,
,Park Name,1979,1980,1981,1982,1983,1984,1985,Average,,
,Lake Clark NP & PRES,,,,"10,440","12,332","12,505","12,701","11,995",,
,Lake Mead NRA,"6,155,100","4,965,601","5,219,266","5,390,496","5,913,768","6,276,562","6,952,147","5,838,991",,
,Lake Meredith NRA,"1,849,425","1,570,790","1,559,283","1,909,655","1,844,870","1,944,648","1,597,719","1,753,770",,
,Lake Roosevelt NRA,"794,710","833,400","873,754","819,328","666,341","622,908","517,471","732,559",,
,Lassen Volcanic NP,"380,014","394,425","415,045","414,859","429,867","463,275","451,497","421,283",,
,Lava Beds NM,"96,565","87,993","87,038","77,705","68,737","65,611","68,254","78,843",,
,LBJ Memorial Grove on the Potomac,,,,,,"1,081,095","1,122,489","1,101,792",,
,Lewis & Clark NHP,"93,453","101,060","130,765","149,368","147,208","145,975","159,861","132,527",,
,Lincoln Boyhood NMEM,"237,793","218,811","225,590","207,898","216,252","217,844","219,215","220,486",,
,Lincoln Home NHS,"403,236","408,434","402,686","432,695","448,078","431,196","431,347","422,525",,
,Lincoln MEM,"3,352,343","3,307,585","2,989,487","3,131,753","3,352,825","3,963,471","3,810,581","3,415,435",,
,Little Bighorn Battlefield NM,"203,795","183,311","252,992","205,585","221,398","247,695","261,686","225,209",,
,Longfellow House Washington's HQ NHS,"17,739","18,819","19,541","17,665","18,566","15,926","19,186","18,206",,
,Lowell NHP,"92,839","274,149","321,762","401,022","437,999","596,304","706,921","404,428",,
,Lyndon B. Johnson NHP,"295,303","317,982","300,685","290,524","299,460","276,414","287,622","295,427",,
,Maggie L. Walker NHS,,,,,,,"1,428","1,428",,
,Mammoth Cave NP,"1,384,910","1,495,787","1,404,317","1,526,676","1,498,503","1,501,450","1,507,939","1,474,226",,
,Manassas NBP,"778,444","797,913","792,371","668,601","720,745","703,100","723,998","740,739",,
,"Martin Luther King, Jr. NHP",,,,,"174,841","322,723","377,069","291,544",,
,Martin Van Buren NHS,,,,"10,538","6,888","5,370","5,335","7,033",,
,Mesa Verde NP,"473,715","539,257","588,608","602,968","604,115","516,865","656,271","568,828",,
,Minute Man NHP,"956,954","1,005,047","1,047,239","1,037,897","1,015,027","960,840","895,775","988,397",,
,Montezuma Castle NM,"382,085","413,885","472,306","454,985","479,722","528,413","545,624","468,146",,
,Moores Creek NB,"44,272","41,793","45,059","50,192","39,532","32,715","43,908","42,496",,
,Morristown NHP,"554,064","580,792","561,698","534,659","626,327","579,845","620,809","579,742",,
,Mount Rainier NP,"1,516,703","1,268,256","1,233,671","1,007,300","1,106,306","1,152,411","1,165,640","1,207,184",,
,Mount Rushmore NMEM,"1,245,425","1,284,888","1,604,991","1,484,300","1,562,559","1,558,872","1,740,793","1,497,404",,
,Muir Woods NM,"1,227,241","1,311,613","1,264,676","1,171,430","1,167,337","1,220,310","1,377,221","1,248,547",,
,Natchez Trace PKWY,"9,475,305","10,601,566","11,160,608","11,051,140","12,796,122","13,478,261","12,931,973","11,642,139",,
,Natural Bridges NM,"78,564","63,594","60,131","55,209","56,368","59,123","61,179","62,024",,
,Navajo NM,"41,341","39,886","39,574","38,927","46,792","38,916","46,702","41,734",,
,New River Gorge NP & PRES,,,,,,"231,295","263,021","247,158",,
,Nez Perce NHP,"162,688","169,727","174,997","187,747","207,746","222,236","228,300","193,349",,
,Ninety Six NHS,,,,,,,"17,908","17,908",,
,Noatak NPRES,,,,"4,170","4,605","7,835","7,005","5,904",,
,North Cascades NP,"742,997","796,079","829,026","857,016","858,041","637,836","629,234","764,318",,
,Ocmulgee Mounds NHP,"81,572","88,929","84,387","80,904","111,014","148,769","198,596","113,453",,
,Olympic NP,"2,078,843","2,032,418","2,306,032","2,478,739","2,410,722","2,759,011","2,532,145","2,371,130",,
,Oregon Caves NM & PRES,"130,733","129,090","135,495","115,045","114,160","118,583","93,993","119,586",,
,Organ Pipe Cactus NM,"131,634","148,311","177,750","151,934","205,090","182,011","175,581","167,473",,
,Ozark NSR,"1,453,034","1,428,711","1,361,644","1,449,168","1,408,642","1,429,268","1,358,900","1,412,767",,
,Padre Island NS,"774,862","765,423","620,782","731,218","630,165","613,386","669,078","686,416",,
,Pea Ridge NMP,"94,197","94,687","105,117","105,296","113,930","124,282","118,613","108,017",,
,Pearl Harbor NMEM,,,"855,847","1,039,050","1,044,752","1,193,987","1,174,573","1,061,642",,
,Pecos NHP,"51,476","36,677","44,539","38,926","39,371","37,514","44,616","41,874",,
,Perry's Victory & Intl. Peace MEM,"129,831","145,289","94,885","138,841","156,293","138,615","154,983","136,962",,
,Petersburg NB,"577,283","545,765","536,003","550,783","553,208","532,643","526,073","545,965",,
,Petrified Forest NP,"671,583","683,121","747,832","710,619","708,512","714,761","736,659","710,441",,
,Pictured Rocks NL,"270,376","311,000","329,775","356,415","441,271","407,697","397,884","359,203",,
,Pinnacles NP,"153,717","163,626","155,205","171,026","170,631","166,258","191,578","167,434",,
,Pipe Spring NM,"24,946","25,670","30,008","30,155","28,237","28,635","30,083","28,248",,
,Pipestone NM,"143,995","136,358","149,172","134,782","133,831","129,064","131,204","136,915",,
,Piscataway Park,"137,971","160,912","116,678","118,545","69,712","58,078","58,608","102,929",,
,Point Reyes NS,"1,489,135","1,408,810","1,322,449","1,344,582","1,424,751","2,032,238","1,991,615","1,573,369",,
,Prince William Forest Park,"499,209","404,358","467,161","439,724","419,793","406,832","431,922","438,428",,
,Pu'uhonua o Honaunau NHP,"409,436","372,212","335,441","345,920","347,840","383,120","394,844","369,830",,
,Pu'ukohola Heiau NHS,"21,737","21,606","24,888","33,706","40,719","44,953","48,014","33,660",,
,Rainbow Bridge NM,"97,066","113,816","114,555","172,126","161,551","177,971","177,038","144,875",,
,Redwood NP,"413,917","471,710","549,461","467,126","473,711","467,155","505,791","478,410",,
,Richmond NBP,"265,793","255,736","284,577","300,170","312,786","304,487","305,667","289,888",,
,Rio Grande W&SR,,,,,,,702,702,,
,Rock Creek Park,"1,156,593","1,059,794","917,310","1,764,535","2,360,791","1,492,638","1,891,539","1,520,457",,
,Rocky Mountain NP,"2,568,530","2,641,937","2,911,242","2,564,116","2,599,006","2,231,448","2,248,854","2,537,876",,
,Roger Williams NMEM,"27,788","45,601","2,112","14,353","15,664","15,817","14,480","19,402",,
,Russell Cave NM,"18,526","22,928","21,290","21,780","22,136","22,675","21,561","21,557",,
,Sagamore Hill NHS,"167,509","181,231","179,676","144,023","123,487","120,835","121,598","148,337",,
,Saguaro NP,"566,486","611,317","470,598","566,807","634,688","699,292","636,711","597,986",,
,Saint Croix NSR,"391,683","354,173","355,962","445,183","440,016","462,922","439,033","412,710",,
,Saint-Gaudens NHP,"31,800","39,064","39,675","38,002","38,682","27,080","31,880","35,169",,
,Salem Maritime NHP,"431,799","354,337","418,262","401,480","565,898","788,510","669,983","518,610",,
