,Att Chg,Visitors Scaled,Area Scaled,cei_pct_area,RONI,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_West
181,1,0.29411776389759176,0.001290334359142278,0.6038,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,1,0.3206590921651077,0.001290334359142278,0.5454,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0,0.27852165775985266,0.001290334359142278,0.1524,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0,0.002148664947656816,9.275566479457269e-05,0.111,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
185,1,0.002444968063875287,9.275566479457269e-05,0.3212,-0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
186,0,0.0020488846395927095,9.275566479457269e-05,0.2266,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
187,0,0.0019804171214128892,9.275566479457269e-05,0.17739999999999997,-1.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
188,1,0.0022465758354293236,9.275566479457269e-05,0.1728,-0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
189,0,0.0020806647845498954,9.275566479457269e-05,0.115,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
190,0,0.0019729394402464924,9.275566479457269e-05,0.3886,-1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
191,1,0.0024654148483146533,9.275566479457269e-05,0.5436,-0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
192,0,0.002261531197762117,9.275566479457269e-05,0.1602,-0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
193,1,0.0031392240246679356,9.275566479457269e-05,0.151,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
194,0,0.002960460709283763,9.275566479457269e-05,0.3448,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
195,1,0.0032677466697153797,9.275566479457269e-05,0.4218,2.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
196,0,0.00294480431434162,9.275566479457269e-05,0.3332,-0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
197,0,0.002813828055161452,9.275566479457269e-05,0.18280000000000002,-1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
198,0,0.0025018685440008374,9.275566479457269e-05,0.27,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
199,0,0.0004748327540661936,9.275566479457269e-05,0.24359999999999998,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200,1,0.0010647516948339621,9.275566479457269e-05,0.1524,-1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
201,1,0.0018184785886531097,9.275566479457269e-05,0.2242,-1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202,1,0.002199606650602894,9.275566479457269e-05,0.46020000000000005,-0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
203,1,0.0025609889607226617,9.275566479457269e-05,0.4988,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
204,0,0.002086740400497593,9.275566479457269e-05,0.32380000000000003,-1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
205,1,0.0009791088777250745,0.006930762165936056,0.0848,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
