,Park_Code,Visitors,Designation,Gross Area Acres,State List,State Count,CEI Region
279,NERI,962065.340425532,National Park & Preserve,72390.91,WV,1,Ohio Valley
280,NICO,8437.4,National Historic Site,5.61,KS,1,South
281,NIOB,39109.475,National Scenic River,29088.57,NE,1,Northern Rockies and Plains
282,NISI,50162.44680851064,National Historic Site,1021.94,SC,1,Southeast
283,NOAT,7582.936170212766,National Preserve,6587071.39,AK,1,OCONUS
284,NOCA,238726.9842519685,National Park,61939.15,WA,1,Northwest
285,NOCA,238726.9842519685,National Park,504780.94,WA,1,Northwest
286,NOCA,238726.9842519685,National Park,117574.59,WA,1,Northwest
287,NOCA,238726.9842519685,National Park,61939.15,WA,1,Northwest
288,NOCA,238726.9842519685,National Park,504780.94,WA,1,Northwest
289,NOCA,238726.9842519685,National Park,117574.59,WA,1,Northwest
290,NOCA,238726.9842519685,National Park,61939.15,WA,1,Northwest
291,NOCA,238726.9842519685,National Park,504780.94,WA,1,Northwest
292,NOCA,238726.9842519685,National Park,117574.59,WA,1,Northwest
293,NPSA,9123.875,Undesignated,8256.67,AS,1,OCONUS-T
294,OBED,197703.5,Wild & Scenic River,5489.85,TN,1,Ohio Valley
295,OCMU,128146.9574468085,National Historical Park,3444.32,GA,1,Southeast
296,OLYM,3015807.6808510637,National Park,923045.8,WA,1,Northwest
297,ORCA,87384.10638297872,National Monument & Preserve,4554.03,OR,1,Northwest
298,ORPI,233151.914893617,National Monument,330688.86,AZ,1,Southwest
299,OXHI,1429792.5531914893,Undesignated,80784.3,MD,1,Southeast
300,PAAL,42871.025,National Historical Park,3426.87,TX,1,South
301,PAAV,181618.125,Undesignated,17.61,DC,1,Southeast
302,PAGR,124359.6,National Historical Park,51.34,NJ,1,Northeast
303,PAIS,655021.085106383,National Seashore,130434.27,TX,1,South
304,PECO,40441.34042553192,National Historical Park,6885.87,NM,1,Southwest
305,PEFO,686231.5319148937,National Park,221390.21,AZ,1,Southwest
306,PERI,98478.12765957447,National Military Park,4440.82,AR,1,South
307,PETE,272122.93617021275,National Battlefield,9598.67,VA,1,Southeast
308,PETR,127694.025,National Monument,7204.43,NM,1,Southwest
309,PEVI,143073.1914893617,Memorial,25.38,OH,1,Ohio Valley
310,PINN,203794.48936170212,National Park,26685.73,CA,1,West
311,PIPE,93933.10638297872,National Monument,297.08,MN,1,Upper Midwest
312,PIRO,572763.1063829787,National Lakeshore,73235.97,MI,1,Upper Midwest
313,PISC,184792.8510638298,Park,4620.06,MD,1,Southeast
314,PISP,42590.63829787234,National Monument,40.0,AZ,1,Southwest
315,POCH,658.05,National Memorial,5.0,CA,1,West
316,PORE,2206932.8936170214,National Seashore,71026.38,CA,1,West
317,PRWI,314808.7021276596,Park,16062.92,VA,1,Southeast
318,PUHE,71920.14893617021,National Historic Site,86.24,HI,1,OCONUS
319,PUHO,418500.91489361704,National Historical Park,419.8,HI,1,OCONUS
320,PULL,4177.3,National Historical Park,203.48,IL,1,Ohio Valley
321,RABR,141654.085106383,National Monument,160.0,UT,1,Southwest
322,REDW,464188.829787234,National and State Parks,139090.97,CA,1,West
323,REER,4431.9,National Historical Park,16.08,SC,1,Southeast
324,RICH,195078.46808510637,National Battlefield Park,8144.28,VA,1,Southeast
325,RIGR,533.2553191489362,Wild & Scenic River,13123.39,TX,1,South
326,RIRA,132963.4,National Battlefield Park,42.18,MI,1,Upper Midwest
327,ROCR,1993514.6382978724,Park,1754.7,DC,1,Southeast
328,ROMO,3159566.255319149,National Park,265917.74,CO,1,Southwest
329,RORI,27072.15,National Historical Park,145.19,CA,1,West
330,ROWI,43278.31914893617,National Memorial,4.56,RI,1,Northeast
331,RUCA,23100.425531914894,National Monument,310.45,AL,1,Southeast
332,SAAN,928319.5531914893,National Historical Park,990.28,TX,1,South
333,SACN,502286.3617021277,National Scenic Riverway,25276.45,"WI,MN",2,Upper Midwest
334,SACN,502286.3617021277,National Scenic Riverway,68738.95,"WI,MN",2,Upper Midwest
335,SACR,7748.5,International Historic Site,6.5,ME,1,Northeast
336,SAFR,3429352.575,National Historical Park,49.86,CA,1,West
337,SAGA,33501.44680851064,National Historical Park,190.75,NH,1,Northeast
338,SAGU,732448.2765957447,National Park,92799.73,AZ,1,Southwest
339,SAHI,86748.48936170213,National Historic Site,83.02,NY,1,Northeast
340,SAIR,27404.042553191488,National Historic Site,8.51,MA,1,Northeast
341,SAJH,266304.2340425532,National Historical Park,2145.56,WA,1,Northwest
342,SAJU,1392637.2978723405,National Historic Site,75.13,PR,1,OCONUS-T
343,SAMA,606225.2978723404,National Historical Park,9.02,MA,1,Northeast
344,SAMO,521845.829787234,National Recreation Area,153121.09,CA,1,West
345,SAND,4366.85,National Historic Site,12583.34,CO,1,Southwest
346,SAPA,10292.125,National Historic Site,6.13,NY,1,Northeast
347,SAPU,35015.97872340425,National Monument,1071.42,NM,1,Southwest
348,SARA,119002.76595744681,National Historical Park,3607.59,NY,1,Northeast
349,SARI,6817.95,National Historical Park and Ecological Preserve,989.42,VI,1,OCONUS-T
350,SCBL,143409.72340425532,National Monument,3004.73,NE,1,Northern Rockies and Plains
351,SEKI,852030.8936170213,National Parks,461901.37,CA,1,West
352,SEKI,852030.8936170213,National Parks,404062.63,CA,1,West
353,SEKI,852030.8936170213,National Parks,461901.37,CA,1,West
354,SEKI,852030.8936170213,National Parks,404062.63,CA,1,West
355,SHEN,1527528.680851064,National Park,200454.01,VA,1,Southeast
356,SHIL,357866.7021276596,National Military Park,9319.16,"TN,MS",2,Multiple
357,SITK,185117.7659574468,National Historical Park,116.29,AK,1,OCONUS
358,SLBE,1236435.829787234,National Lakeshore,71318.57,MI,1,Upper Midwest
359,SPRA,17784.23404255319,National Monument,3.23,IL,1,Ohio Valley
360,STEA,99640.625,National Historic Site,62.48,PA,1,Northeast
361,STGE,2020.9,National Historical Park,17.47,MO,1,Ohio Valley
362,STLI,3343341.0425531915,National Monument,58.38,NY,1,Northeast
363,STON,389613.45,National Monument,7.7,NY,1,Northeast
364,STRI,228477.55319148937,National Battlefield,709.49,TN,1,Ohio Valley
365,SUCR,258142.29787234042,National Monument,3137.71,AZ,1,Southwest
366,TAPR,16401.8,National Preserve,10882.67,KS,1,South
367,THIS,116080.9574468085,Undesignated,88.5,DC,1,Southeast
368,THJE,2000021.1489361702,Undesignated,18.36,DC,1,Southeast
369,THKO,4548.212765957447,National Memorial,0.02,PA,1,Northeast
370,THRB,15783.297872340425,National Historic Site,0.11,NY,1,Northeast
371,THRI,21024.787234042553,National Historic Site,1.18,NY,1,Northeast
372,THRO,540624.5744680851,National Park,70446.89,ND,1,Northern Rockies and Plains
373,THST,4625.175,National Historic Site,328.25,MD,1,Southeast
374,TICA,111865.74468085106,National Monument,250.0,UT,1,Southwest
375,TILL,363.8,National Monument,5.7,"IL,MS",2,Multiple
376,TIMU,426472.8735632184,Ecological & Historic Preserve,138.39,FL,1,Southeast
377,TIMU,426472.8735632184,Ecological & Historic Preserve,46263.07,FL,1,Southeast
378,TIMU,426472.8735632184,Ecological & Historic Preserve,138.39,FL,1,Southeast
379,TIMU,426472.8735632184,Ecological & Historic Preserve,46263.07,FL,1,Southeast
380,TONT,58035.63829787234,National Monument,1120.0,AZ,1,Southwest
381,TUAI,14219.125,National Historic Site,89.68,AL,1,Southeast
